origin_air_month,dep_delay_x,dep_delay_y
102685,,-11.0
102756,,-9.0
102791,8.082903768654761,-7.333333333333333
1027910,10.425929215182693,-0.2
1027911,3.774917217635375,-6.75
1027912,4.604345773288535,-9.2
102792,1.4142135623730951,-9.0
102793,8.48528137423857,0.0
102794,,-9.0
102796,3.696845502136472,-6.5
102797,16.263455967290593,5.5
102798,6.377042156569663,-4.0
102799,3.304037933599835,-5.75
102991,4.220133150686577,-9.857142857142858
1029910,8.401770265232418,-3.6153846153846154
1029911,11.95427797504985,0.2857142857142857
1029912,4.041451884327381,-4.333333333333333
102992,4.61519230368573,-6.4
102993,7.810249675906654,-5.5
102994,7.289914755527471,-7.0
102995,2.7436796055257213,-5.444444444444445
102996,8.701706555021088,-3.4166666666666665
102997,13.717449509753319,-0.8
102998,11.989311479129638,-1.9230769230769231
102999,13.516480240626187,-2.8666666666666667
1033310,,-20.0
103334,,-11.0
103335,,-11.0
103339,,-4.0
1036111,,-15.0
103612,,-6.0
103613,,-2.0
103616,,-4.0
103617,,-8.0
103721,6.575568054403759,-7.285714285714286
1037211,,-10.0
1037212,9.504384952922168,-8.666666666666666
103722,10.334408546211051,-3.4
103723,4.163331998932265,-11.333333333333334
103724,,-2.0
103726,27.010800309012197,9.25
103727,45.96194077712559,22.5
103729,2.8284271247461903,-12.0
103971,9.490537171031235,0.9728260869565217
1039710,9.95963372727134,1.075268817204301
1039711,12.02385561259013,2.2083333333333335
1039712,10.882991529580892,2.157608695652174
103972,12.246470903547445,3.0118343195266273
103973,8.908323345086988,0.9295774647887324
103974,10.226999687799708,1.4660194174757282
103975,10.391451751490072,2.4444444444444446
103976,12.580627541943702,4.0
103977,11.673847891301774,3.3105263157894735
103978,12.616092105356433,3.5297029702970297
103979,8.121973931611226,-0.7283236994219653
104081,1.1547005383792517,-6.333333333333333
1040810,4.041451884327381,-7.666666666666667
1040811,22.627416997969522,13.0
104083,,-2.0
104084,7.58287544405155,-2.0
104085,3.5355339059327378,-5.5
104086,,-6.0
104087,8.34665601703261,0.5
104088,2.081665999466133,-4.333333333333333
104089,2.1213203435596424,-8.5
1040911,,0.0
104231,10.240338471930723,-0.6896551724137931
1042310,9.347078039038076,-2.4864864864864864
1042311,12.20347209538317,1.4838709677419355
1042312,8.218782579967314,-1.0
104232,11.643596237131092,4.36
104233,10.961201458375596,1.4736842105263157
104234,4.634486113741365,-2.0384615384615383
104235,11.29385941581538,1.4857142857142858
104236,16.4233215336021,6.176470588235294
104237,15.329489631480673,3.4871794871794872
104238,14.943939283914442,3.108108108108108
104239,10.588772515585045,0.6176470588235294
104311,4.932882862316247,-3.3333333333333335
1043110,1.4142135623730951,-4.0
1043111,6.683312551921141,-7.0
