,0
1021,1129214683
1024,1129811292
1025,1483114057
1026,1405711259
1027,1457610397
1028,1591913930
1029,1400414107
1031,1104213303
1032,1100313930
1033,1219110397
1034,1129810397
1035,1393012892
1036,1215614869
1037,1295313930
1038,1477112892
1039,1039714576
1040,1348714908
1041,1486912478
1042,1069312478
1043,1082114869
1045,1410010721
1046,1349515016
1047,1129212889
1048,1348712953
1050,1410711298
1051,1129814842
1052,1129211298
1053,1393014986
1055,1069311433
1057,1129211921
1058,1320413930
1059,1129810423
1060,1052911292
1061,1014113487
1062,1039713487
1063,1105715412
1064,1393014730
1066,1295313342
1067,1127811697
1068,1467414107
1069,1402711057
1070,1082111986
1071,1105713577
1072,1483114869
1074,1289214869
1075,1473012266
1076,1217312758
1077,1129213851
1078,1334214107
1079,1449213204
1080,1486913891
1081,1129814193
1082,1069314683
1083,1042312191
1084,1069312191
1085,1105710208
1086,1393012264
1087,1477113303
1088,1275812892
1089,1477115376
1090,1486914570
1091,1106611278
1094,1483114747
1095,1334211433
1096,1410013930
1097,1410714869
1098,1039712323
1099,1288912892
1100,1105713795
1101,1104215016
1102,1125910397
1103,1169714100
1104,1474713796
1105,1319810397
1106,1330315304
1107,1410012451
1108,1143311995
1109,1129215370
1110,1199611057
1111,1162411057
1112,1320410423
1113,1430711278
1115,1105712478
1116,1289212889
1117,1393014771
1118,1105710397
1120,1410713476
1121,1489314107
1122,1161813232
1125,1129814814
1127,1029914057
1128,1226610994
1129,1105711618
1130,1379610800
1131,1039714986
1132,1072111057
1133,1490811292
1134,1161811278
1135,1393012953
1136,1501614107
1137,1294511298
1138,1410014576
1139,1072111292
1140,1393011111
1141,1129214683
1142,1071311292
1143,1129814842
1144,1188411292
1145,1080013796
1146,1289211259
1147,1133713487
1148,1477113204
1149,1474713487
1150,1039714193
1151,1105711292
1152,1161814771
1153,1289213796
1154,1129815249
1155,1474714893
1157,1129212003
1158,1143314730
1159,1177810397
1160,1039713204
1161,1323211292
1162,1079213930
1163,1289213303
1164,1164814869
1165,1129215304
1166,1393112478
1168,1501614771
1169,1295313342
1170,1393011618
1171,1052915304
1173,1393111618
1174,1449212266
1175,1129811292
1176,1410013230
1177,1501613930
1178,1221711278
1179,1405711433
1180,1452410397
1181,1198615304
1182,1486912892
1183,1320410821
1184,1039713487
1185,1320414492
1187,1477111618
1188,1110911292
1189,1288913256
1190,1410012451
1191,1289212889
1192,1471111433
1193,1474713871
1194,1467914893
1195,1289212173
1196,1334213930
1197,1324413487
1198,1410711109
1199,1477114122
1201,1477114679
1203,1320410821
1204,1245111298
1205,1039711423
1206,1125914683
1207,1169714492
1208,1457610721
1210,1226411298
1211,1247813931
1212,1086813930
1213,1129212892
1214,1545413930
1215,1119311278
1216,1125912896
1217,1449214100
1218,1379614107
1219,1071314771
1220,1295313930
1221,1410010581
1222,1323213296
1223,1323215016
1224,1537612889
1225,1106611278
1226,1410712892
1227,1219111140
1228,1320411618
1229,1410014524
1230,1039714574
1231,1477114492
1232,1457011298
1233,1393011042
1234,1393013367
1235,1082114122
1236,1530413232
1237,1410013930
1238,1072111433
1239,1129211066
1240,1068513930
1241,1129212389
1242,1079213204
1243,1448914747
1244,1393014952
1245,1295313303
1246,1535613204
1247,1334210397
1248,1042314679
1249,1405714908
1250,1410713204
1251,1473011618
1252,1161813485
1253,1423712892
1254,1323010397
1255,1129214869
1256,1468311298
1257,1295311259
1258,1315811298
1259,1410013577
1260,1320414307
1262,1319812339
1263,1219110821
1264,1348711423
1266,1410714747
1267,1162413303
1268,1562413851
1269,1105713204
1270,1379610800
1271,1039710721
1272,1226611292
1273,1295310397
1274,1086812264
1275,1247812892
1276,1119311298
1278,1457613930
1279,1069313232
1280,1426211298
1281,1227813930
