carrier_route_id,arr_delay_x,arr_delay_y
1039711617DL,18.83613548475377,92.6
1039711618DL,7.717912701669293,91.76470588235294
1039711618NK,,100.0
1039711618UA,19.286636797906446,98.15384615384616
1039711624DL,7.496665925596524,93.8
1039711641DL,10.34495924681107,93.72727272727273
1039711697B6,19.84187491140895,99.2
1039711697DL,17.44025692403511,102.34482758620689
1039711697NK,18.431488822658366,99.21428571428571
1039711697WN,15.711688096991452,94.5
1039711721DL,7.463003991117018,93.375
1039711775DL,5.656854249492381,82.0
1039711778DL,16.997548842896926,107.25
1039711823DL,10.124228365658293,81.0
1039711953DL,11.235572759681425,89.33333333333333
1039711973DL,10.627532377953242,95.22222222222223
1039711977DL,19.517086531208154,103.25
1039711986DL,9.191092996819824,87.85714285714286
1039711995DL,15.215661006649727,96.88888888888889
1039711996DL,11.89584427903758,99.8
1039711996WN,,121.0
1039712007DL,7.5592894601845435,87.0
1039712124DL,4.949747468305833,90.5
1039712191DL,12.64631039737151,95.0625
1039712191WN,10.906165432655259,100.22222222222223
1039712197DL,3.593976442141302,90.75
1039712217DL,8.79830986100492,91.92307692307692
1039712264DL,7.869508667424332,91.0625
1039712264UA,13.926393806166924,97.22222222222223
1039712264WN,0.7071067811865476,96.5
1039712266DL,18.5618656697773,96.4
1039712266NK,20.753312988532695,89.8
1039712266UA,15.046509093388934,91.6923076923077
1039712278DL,14.956603892595403,99.2
1039712323DL,13.69291179162903,94.1875
1039712339DL,13.458224605192527,99.53333333333333
1039712339WN,22.647400775911617,104.71428571428571
1039712448DL,7.7413546249071565,89.75
1039712451DL,12.94733941331569,94.82142857142857
1039712451WN,12.66039945205973,92.57142857142857
1039712478B6,20.506096654409877,92.5
1039712478DL,16.650694100700058,92.63157894736842
1039712889DL,19.964253769460772,97.42857142857143
1039712889F9,14.788509052639485,74.8
1039712889NK,,72.0
1039712889WN,6.4770657671804575,91.57142857142857
1039712892AA,12.727922061357855,86.0
1039712892DL,14.639407534611054,94.30434782608695
1039712892F9,,141.0
1039712892NK,11.633285577743434,94.0
1039712892WN,19.9949993748437,103.6
1039712945DL,12.045129510616984,94.29166666666667
1039712951DL,9.003702941938206,84.33333333333333
1039712953AA,17.800532979632223,99.76923076923077
1039712953DL,14.7396377626182,91.93023255813954
1039712953F9,9.291573243177568,98.66666666666667
1039712953WN,16.863669035335498,96.375
1039712992DL,8.977179044095289,90.61538461538461
1039713198DL,11.172670738394261,92.6
1039713198WN,5.188127472091128,91.25
1039713204B6,16.318700928689147,90.4
1039713204DL,14.596081119450663,97.74074074074075
1039713204F9,12.322308457196067,90.875
1039713204NK,8.544003745317532,102.5
1039713204WN,11.758279757564146,91.6
1039713230DL,17.686152775547317,93.6
1039713232DL,11.034038245356955,86.33333333333333
1039713232WN,6.435115716575289,95.625
1039713244DL,16.518483408522922,96.11764705882354
1039713277DL,8.702490065109716,93.8
1039713296DL,8.48528137423857,76.0
1039713303AA,2.8284271247461903,92.0
1039713303DL,17.233635379855205,100.04166666666667
1039713303F9,,111.0
1039713342DL,17.478401113789143,94.57142857142857
1039713342WN,2.8284271247461903,84.0
1039713360DL,17.3733512407173,103.5
1039713367DL,11.554220008291344,86.0
1039713377DL,18.734993995195193,93.0
1039713422DL,13.147584354510693,98.23076923076923
1039713485DL,4.926120853842978,86.66666666666667
1039713487DL,12.93400578889334,92.56666666666666
1039713487NK,19.79898987322333,98.0
1039713487WN,7.0710678118654755,115.0
1039713495DL,11.47353935205514,93.8
1039713495NK,12.480651692386367,95.16666666666667
1039713495WN,16.847983423975272,99.63636363636364
1039713577DL,4.979959839195493,88.0
1039713795DL,7.429670248402684,93.8
1039713796WN,,119.0
1039713851DL,17.109126869078455,90.5
1039713871DL,12.459935794377111,92.33333333333333
1039713891DL,,87.0
1039713930AA,12.552556180581972,93.7
1039713930DL,11.305436887878612,89.70967741935483
1039713930UA,18.871976980473328,97.83333333333333
1039713931DL,10.499791142450773,96.36842105263158
1039714027DL,12.302535549730429,95.93333333333334
1039714027WN,22.781571499789035,106.5
1039714057DL,17.784824992110547,82.6
1039714098DL,12.298373876248847,87.33333333333333
1039714100AA,12.82875376164509,93.07692307692308
1039714100DL,12.955307792561314,90.0
1039714100NK,,110.0
1039714100WN,8.148619514985343,85.0
1039714107AA,9.073771725877464,80.66666666666667
1039714107DL,15.47888346533216,93.5625
1039714107WN,26.372333988481184,88.5
1039714108DL,20.808652046684813,101.0
1039714122DL,12.088562087086013,92.5
1039714122WN,2.8284271247461894,90.0
1039714193DL,16.55294535724685,96.0
1039714307DL,8.74642784226795,90.66666666666667
1039714321DL,25.11971337416094,108.0
1039714492DL,11.289255664006088,95.70370370370371
1039714492WN,27.592269448766505,103.33333333333333
1039714524DL,10.600397212021425,95.42105263157895
1039714524WN,7.182153808805081,92.75
1039714574DL,12.90607092289,90.16666666666667
1039714576DL,16.00833116432399,89.66666666666667
1039714633DL,,77.0
1039714635DL,13.995917772183226,96.2
1039714635WN,10.870449239413551,92.83333333333333
1039714679DL,20.556107886187295,90.375
1039714679WN,,84.0
1039714683DL,11.440226740707017,92.83333333333333
1039714683F9,,93.0
1039714683WN,,122.0
1039714685DL,6.537786097665137,86.6470588235294
1039714696DL,20.660089199088315,90.625
1039714730DL,13.24289503869331,93.47368421052632
1039714747AS,13.693063937629152,102.5
1039714747DL,16.681239050614206,89.57142857142857
1039714771DL,14.908610487455455,94.5
1039714771UA,18.62569909202515,99.25
1039714783DL,12.752217360876799,88.57142857142857
1039714814DL,13.688600285557966,84.6
1039714831DL,15.614096195425466,95.6
1039714843DL,4.629100498862756,91.5
1039714843F9,,75.0
1039714869DL,11.687600266949588,93.75
1039714869F9,,101.0
1039714893DL,10.906529280774015,80.42857142857143
1039714908DL,10.601886624558858,95.0
1039714986DL,10.827315883023328,92.6923076923077
1039714986F9,,79.0
1039715016DL,11.028779938329743,93.11111111111111
1039715016WN,16.64331697709324,100.33333333333333
1039715024DL,13.820274961085254,101.0
1039715096DL,28.243583342061967,91.2
1039715249DL,12.545863573722515,97.11111111111111
1039715304DL,12.52510123390387,96.46666666666667
1039715304NK,4.618802153517004,87.33333333333333
1039715304WN,17.381709050717927,99.13333333333334
1039715323DL,9.03388682191177,93.5
1039715356F9,13.435028842544403,83.5
1039715370DL,10.739335795724674,87.0
1039715412DL,12.975911105037978,96.47368421052632
1039715607DL,18.236410465512854,109.16666666666667
1039715624DL,8.847472959991329,89.5
1039715919DL,16.05704117913918,93.6
1040810466G4,,92.0
1040811292UA,,83.0
1040811433DL,8.772250620700538,88.42857142857143
1040812889G4,,133.0
1040813487DL,6.928203230275509,92.0
1040813930AA,5.354126134736337,93.0
1040813930UA,12.987173159185437,94.33333333333333
1040913930UA,,92.0
1042310140WN,15.303594349041013,107.8
1042310397DL,10.570112238158718,93.5
1042310397NK,,107.0
1042310397WN,15.161171165550211,92.11111111111111
1042310693WN,19.1049731745428,112.0
1042310721B6,26.870057685088806,106.0
1042310721DL,15.23975065412817,96.75
1042310821WN,22.89650628371062,93.75
1042311042G4,,128.0
1042311057AA,20.79262689833426,100.66666666666667
1042311193DL,12.489995996796797,92.0
1042311193G4,,95.0
1042311259WN,16.670047276192,94.0952380952381
1042311278WN,7.023769168568494,97.33333333333333
1042311292F9,,84.0
1042311292NK,26.057628441590765,101.0
1042311292UA,17.98041864210771,97.25
1042311292WN,14.075984275827155,95.5
1042311298AA,11.051863108133377,96.83333333333333
1042311433DL,10.833589740555373,85.16666666666667
1042311481WN,,92.0
