route_id,mail_ratio,capacity_ratio,freight_ratio,mail_per_flight,freight_per_flight,pass_per_flight
1025713204,0.0,0.7776456807081806,0.0,0.0,0.0,125.88333333333333
1025713232,0.0,0.8947856291174263,0.0007267839543051977,0.0,30.57430875576037,142.68087557603687
1025713930,0.0,0.801466647538645,0.00039280354420976276,0.0,12.798611111111112,115.18333333333334
1025714100,0.0,0.24475524475524477,0.0,0.0,0.0,35.0
1025714107,0.0,0.972027972027972,0.0,0.0,0.0,139.0
1025714112,0.0,0.6497175141242938,0.0,0.0,0.0,115.0
1025714492,0.0,0.93646408839779,0.0,0.0,0.0,169.5
1025714635,0.0,0.6085714285714285,0.0016561059907834101,0.0,71.875,106.5
1025714730,0.0,0.6153846153846154,0.0,0.0,0.0,88.0
1025714761,0.0,0.8814102564102564,0.0,0.0,0.0,137.5
